evn	rus
нуӈартын митӈилэ страналат вамнилва уӈиӈкитын	они засылали в нашу страну убийц
нуӈартын мол качулинматын эӈкитын тыллэ	они не понимали шелеста деревьев
нуӈартын мугдэкэн дагалан эмэллэ	стали они подходить поближе к  пеньку
нуӈартын мэкчэрэчэ бэе тукалаӈдун орорнун туги-дэ аявриван асиван ваӈкитын	они вместе с оленями закалывали на могиле умершего его любимую жену
нуӈартын мэрдувэр  правое гачал улгучэмэтчэдэвэр эсилнун бидерэ эксэридылнун бугдылнун эӈэсилнун	они  присваивали себе право сношений с несуществующими сверхъестественными силами
нуӈартын мэртын эла-вал овкил, тадук би ом  гунивкил	сами наделают что-нибудь, а потом на меня и свалят
нуӈартын мэртын эла-вал овкил, тадук би ом гунивкил	они  сами что-нибудь натворят, а потом на меня свалят
нуӈартын надаллава хавалдячатын	они  трудились целую неделю
нуӈартын он-мал маӈичана, мэргэвсипчут мигдылчэтын	они шумели  как-то сдержанно, глухо
нуӈартын революциява наукаду очатын	они  совершили революцию в науке
нуӈартын республикадыду илмактал  бултамнил гокчанкиттутын давдымнил бичэтын	они были победителями в  республиканском соревновании юных охотников
нуӈартын симумат чайтычатын	они молча напились чаю
нуӈартын тарит олгатчара культура балдындун	тем самым они мешают росту культуры
нуӈартын таткичил, татыгамнил бэлэгэдитын  хэгдывэ хававэ ӈэнэвдерэ	они проводят с помощью школ и учителей большую  работу
нуӈартын умнэт наганилвэр ювмэлчэрэ	они мигом выхватили наганы
нуӈартын умук дагадун  тэгэтчэчэтын	они сидели рядом с гнездом
нуӈартын упкат хавалкирал бичэтын	они все были  трудолюбивыми
нуӈартын факториял  товарилдулитын улэкитчэчэтын	они распространяли клевету о товарах на  факториях
нуӈартын фамилиявар эвкил эктэрэ	своей  фамилии они не скрывают
нуӈартын фирмава ора	они  образовали фирму
нуӈартын хавамнилва яблонялва улэкитту тамандули гаӈкитын	они нанимали рабочих для окапывания яблонь
нуӈартын хактыравэ, савун ачинман  хаӈивдяра	они сеют темноту и невежество
нуӈартын хактыраду мэмэгилвэр тырэмэтчэӈэтын-ӈу?	не давить же им в темноте друг друга?
нуӈартын халгартын эчисинчэдерэ дуннэвэ бакара	кажется, что их ноги не касаются земли
нуӈартын халдун мэрдулэвэр оӈкучактула агидылва  сиӈэрэкэрвэ ивкэниӈкитын	они иногда принимали к себе в подполье диких  мышей
нуӈартын хата эчэтын эмэдерэ	они всё не приходили
нуӈартын хата-да тэдечэдечэтын Александр Михайлович  мучумачиндулин	они всё ещё надеялись, что Александр Михайлович вернётся
нуӈартын хатакан эчэл адерэ	они всё-таки не спят
нуӈартын хулукукэрду, хактырапчулду дюкчалду бидеӈкитын	они  жили в маленьких тёмных юртах
нуӈартын эласа-да самолётту  татычал	они уже привыкли к самолёту
нуӈартын эмэмэчир тэгэми чагуду	они должны  приехать послезавтра
нуӈартын ӈа̄лэлдуквэр дявӯчадяча̄тын	они держались за руки
нуӈартын, город урэкэндукин гудейдулэ, эсилэ албин биси бирала, умунӈит дяпкагитви гугдалди секталди балдывчала, эврэ	с городского холма они спустились к красивой неширокой реке, осенённой с одной строны высокими ивами
нуӈартын, тар куӈакар, ичэтчэвкил амтылвар; экиндымэр каларудявки, молатын  моладявки	они, те дети, смотрят за своими родителями, старшая у них готовит  кушанья, дрова для них рубит
нуӈарӈилтын войсколтын ая дептылэчил бичэтын, кэтэ  пэктырэвучил тадук патроничил бичэтын	у их войск была сытная еда, было  много винтовок и патронов
нуӈарӈилтын игдыл дылгартын, хактанчэртын ултадеӈкитын	раздавались  их звонкие голоса и заразительный смех
нуӈнӣгэ̄дӯ биде-мӣ	стоять во главе
нэ̄кчэ-мӣ	взять под охрану
нэ̄кчэ-мӣ	сохранить в запасе
нэкнил  дагамамала дагамачатын	братья подъехали совсем близко
нэкнил дагамамала дагамачатын	братья подъехали совсем  близко
нэктэмэюкли нэрэнӈэри воздухту, хардяна, илчан	над  самым полем жаворонок остановился в воздухе, трепеща крылышками
нэктэрдыл  бэйӈэл корордуквар юдерэ	полевое зверьё вылезает из норок
нэкулэ игдяма болдо сиӈэрэкэн ичэн	в чулан  выскочила крупная серая мышь
нэкундыгу торгамилдук парусила одяӈкин	сестрёнка прилаживала паруса из  тряпочек
нэкунин  торгамилдук парусила одяӈкин	его сестра прилаживала паруса из тряпочек
нэкунин  чавуридячан, тэгэчилчэн	его братишка побарахтался и уселся
нэкунин бучэнун  калимнун дюктэ угиски мудук ючэн	его младший брат всплыл наверх вместе с  мёртвой моржихой
нэкунин ге калтакадин анӈанит нуӈандукин  илмактатмар бичэн	его сестра была на полтора года моложе его
нэкунми таткитту  татчаран	мой младший брат учится в школе
нэкунтын дюлатын соӈодёно ичэн	их сестра в слезах вошла в дом
нэкӯнин	её внук
нэкӯнми	мой внук
нэлды̄дерэн	ветер веет
нэлки  нуӈартын тасисинивкил орор хутэтэлкиттулэтын	весной они гонят оленей к  месту их отёла
нэмкукэрдули сэктэлдули сиӈэрэкэн мартышкагачин  таргачинди иргитви туктывэндеӈэ бичэн	с таким хвостом мышонок мог лазить  по очень тоненьким веточкам как мартышка
нэмкун улапкун наннан селурин  оёклотын гармошкагачин кэӈгургэӈкин-дэ, нян  каптургаӈкин-да	тонкая влажная кожа над ноздрями оленя то растягивалась, то снова  сжималась, как гармошка
нэмкур мол гилдылкал  маривдяра	тонкие деревья в кольца гнутся
нэмэсин-мӣ	наложить заплату
нэптэкэ баргидадун дягда сэктэлдун илмактакан улуки силимкукэн иргичи микчасудячан	на другой стороне поляны на ветках сосны прыгала молодая белочка с тоненьким хвостом
нэрэнӈэри  химат-химат дэктылэлдиви хавалилчан	жаворонок быстро-быстро заработал  крылышками
нэрэнӈэри ичэӈкин балдычал  хутэлтын дэгиктэдэвэр татчариватын	жаворонок видел, как их подросшие дети  учатся летать
нэрэнӈэри эсилэ бира баргидадун-да, амут чагидадун-да кэтэрэ игдылвэ пэтырурвэ долдыӈкин	частенько теперь жаворонок слышал громкие выстрели за той рекой, за озером
нэюмкур олачал супирэл оёклотын  дырамил ларгамал иел дериндечэтын	над невысокими побуревшими кустами  проплывали толстые ветвистые рога
нэӈдэлэ	моро?зный день
нюриктэлви хус-мӣ	постричь волосы
нюриктэлим эсалвам далитчара — эва-да албадям  ичэдеми	волосы закрывают глаза — и я ничего не вижу
нючӣде-мӣ	дымить шкуру
ня̄н-да, хатама	опять же
ня̄ӈта	кедровый орех
няма 10 градусил	10 градусов тепла
нямапчут тэты̄чэде-мӣ	тепло одеваться
нямикан калим маналин насаргачатын	ласты моржихи разжались
нямикан-калим	моржиха
нямикан-калим адечан	моржиха спала
нямисал этэрэктын хутэтэдеми, сэсинмэ дюгакиттулатын  тасисинивкил	когда важенки кончают телиться, стадо перегоняют на летнее  пастбище
нямукан гивчэн дарискитанэ химат хоролдёчон	кабарга  быстро поворачивалась то в одну, то в другую сторону
нян ганалчимачилла  Хэвэкэ Пачэкинун	опять стали перестреливаться Ховоко и Пачэки
нян супирэл очатын	опять начались кусты
няӈнячил капумчал осиктачил ӈалэл	грязные, с обломанными ногтями руки
няӈтакардук аяе яблоняя эдеӈэ балдыгаттэ	из семян нельзя вырастить хорошую яблоню
няӈтакардук нэмкукэр чуламал чукакар балдыӈкитын, тадук угиски аракукан балдылиӈкитын	из семечек прорастали тоненькие зелёные всходы и потихоньку росли, поднимались вверх
няӈталва тавдяк	сбор орехов
нёксан бо̄нага̄чин чурдирядан	с него пот градом льёт
нёчэ-мӣ	быть в поту
о̄вка̄н-мӣ (	задать работу
о̄вка̄н-мӣ (	приказать сделать
о̄вка̄тнэвэ бӯде-мӣ	задавать урок
о̄вча̄л иктэл	искусственные зубы
о̄кидӯ?, о̄кин-дӯ?	как долго?
о̄кила̄да̄	во всякое время
о̄кин-да, эрэгэр, луху	всё время
о̄кин-да̄	всё время
о̄кин-да̄ гунде-мӣ, этэнэе а̄чинди гунде-мӣ	неустанно твердить
о̄киндӯ-да̄	на веки вечные
о̄киндӯ-да̄ этэ̄м омӈоро	ввек не забуду
о̄кинма̄нду	в разное время
о̄кка̄кӯн	очень давно
о̄кса-мӣ	постараться сделать
о̄кӣ-вал, ады̄-вал, асун-мал	сколько-нибудь
о̄ла̄н	мастер на все руки
о̄лдынтыкӣ ичэсин-мӣ	искоса посмотреть
о̄ллолво тэлӣмэчин	заготовка рыбы
о̄ма̄чинма дялупкӣн	осуществление плана
о̄макта анӈанӣ о̄дала̄н	под новый год
о̄мактал городыл о̄ра	появились новые города
о̄макталдӯ дю̄лдӯ биливкэ̄нӣ	вселение в новые дома
о̄мактат	на новый лад
о̄мактат	по-новому
о̄н биденни?	как ты живёшь?
о̄н о̄дя-мӣ?, о̄н биде-мӣ?	что делать?
о̄н-да	◊ ни за что
о̄н-да̄	никоим образом
о̄н-да̄ ба̄-мӣ	отказать наотрез
о̄н-да̄ этэ̄м сурурэ	ни за что не пойду
о̄н-ка бидем?	как же мне быть?
о̄н-ка?	а именно?
о̄н-ка?	как же?
о̄н-мал о̄каллу	как нибудь устроится
о̄н?, о̄ни?, о̄н-ка?	каким образом?
о̄налвар ичэтчэрэ	они смотрят на свои достижения
о̄нта̄нэ, бинэ̄н, бидеӈэ̄н	как только возможно
о̄с-мӣ (	уступить место
о̄сиктачӣ буга, о̄сиктачӣ няӈня	звёздное небо
о̄ска̄л!	отойди прочь!
о̄скал	освободить место
о̄скал!	отойди!
о̄ча̄с-ку, эчэ̄с-ку?	сделал ли?
о̄ӈка̄птыки	вверх ногами
обоилва уӈкэде-мӣ	оклеивать обоями
общественнай ӈэнэн	общественное движение
общество членин	член ощество
овка̄ндя-мӣ	заставлять сделать
одякаллу!  одяӈавун!	исполняйте! будет исполнено! (мы выполним!)
одяӈавун! гирки  капитан!	Есть, товарищ капитан
одёвдё-мӣ, эвлэ̄вде-мӣ	быть в сохранности
ой, авадыл маркал аял! — осиктатви маркава  копколитчана, Чингиз кэнедечэн	ой, марки какие красивые! — восхищался  Чингиз, уже поддевая ногтём марку
окин варэ Иотейлово, нуӈан уркэли тыктэн, тадук гунэн: «Этэкэллу вадеми»	когда они ранили Иотейло, он упал у порога и сказал: «Прекратите воевать»
окин-да эвки аивра, харгикан!	прямо ненасытный, чертёнок!
окитту ады илэл хавалдянаватын  нуӈан албачан таӈдями	сколько людей работало на постройке, он не сумел  посчитать
окно  чагидадун хактырапчу долбони бичэн	за окном была тёмная ночь
окно рамадун,  куреду дырам, ватагачин курбэчэ сиӈилгэн бичэн	на оконной раме, на заборе  лежал толстый, пухлый, как вата, снег
окново лупумнэк хатыпчу дылача энэ эвлэнэ гарпалчан	в  окно щедро засветило лучами яркое солнце
окнолво илтэмнэк луку тамнакса деринэлчэн	мимо окон замелькал густой  туман
окноли тулилэ багдамаптыкин ӈэрин багдаргалчан	за окошком забелел мутный свет
окнолӣ нода̄рэн	он выбросил за окно
окнотки  ичэтчэнэ дялдаденэ, нуӈан сиӈамалва окнодылва рамалва эчэн ичэдерэ	в  задумчивости глядя в окно, она не видела жёлтых оконных рам
окошко чагидадун илитчакал	стой  за окошком
округ администрациян	администрация округа
олдоксоли,  бираявэ баргимнак такэланӈэчии нэвчэли, ӈэнэвкэ бичэн	идти приходилось по  доске, проложенной, как прокладывают мостки над речкой
олдондӯ, дарандӯ	с краю
олдонтыкӣ, дарискӣ	в сторону
олдонӈит	со стороны
олдоптыкӣ	на боку
олдорон	боковой клин рубашки
олдорӯдя-мӣ	делать лыжи без меха
олло кэтэт тагадягин	пусть  рыбка ловится побольше
олло-ко муринӈачин танчэдерэн	а  рыба тянет ну прямо что лошадь
олло-ко нян танисинэн, усикэн-кэ аран ӈалэлдукив эчэ  сучавра	а рыба ещё как потянет — шнур чуть совсем из моих рук не  выскользнул
олло-ко танисинэн, тадук би мулэ сурунчэм	а рыба как рванула,  и я скатился в воду
оллоду дюкэ хэргидэдун хактырапчу	темно  рыбе подо льдом
оллол алатчэчатын — каӈкимама му  солигит нуӈардутын авадыя вавмэчина эмэвдеӈэвэн	рыбы поджидали, какую добычу принесёт  им сверху стремительная вода
оллол вавмэчина алатчэчатын	рыбы поджидали добычу
олломимни ичэчэн бира дюкэвэ капунаван	рыбак  видел, как река сломала лёд
олломимни талумаду егасту оллолво нэӈкин	рыбак опускал рыб в берестяное ведро
олломимни уливунма мэнтыкиви  танчэдерэн	рыбак тянет весло к себе
олломимнил адылвар нэксэл, оллолво гара	рыбаки, разложив сеть, вынули рыбу
олломо̄кӣт	рыбный лов
олломотчорӣл умӯнӯпкӣттын, олломӣдярӣл артельтын	промысловая артель рыболовов
оллоты-мӣ	съесть рыбу
оллоӈилим бирала бурурэ, лапчалдивэр сомналбусиннаватын би ичэм	рыбы  мои шлёпнулись в воду, я только видела, как они хвостиками махнули
оллоӈно	рыбное озеро
олонотви арамакан халдятчана, тар-да бинэ, аги байдулин  урунчэденэ, хуркэкэн шалаштула мучудячан	немного смущённый своим испугом и  в то же время довольный тем, что тайга богата, мальчик возвращался к шалашу
олоптыкин асатканмэ дагупчустан, тадук нямичаннунма  дагивран	кулик переправил девочку через реку и переправил вместе с важенкой
омакта  маркачи машина	машина новой марки
омактава икэнмэ  магнитофонди дукуми	записать на магнитофон новую песню
омактава пэктырэвунмэ умун  нямади тунӈа дярдули рублил гам	новое ружьё я купил за сто пятьдесят  рублей
омактал гулэл даранмаюл илитчачатын	новые дома  высились совсем рядом
омактал, аямамал лабораториял овувчатын	были выстроены новые прекрасные  лаборатории
омактала бикиттулэ̄ нулгисинмукэ̄н-мӣ	выселять на новое место
омидя-мӣ	вертеть хвостом
омолги  мурин никимнадукин мавутларэн	юноша накинул аркан на шею лошади
омолги оронтыки  мавутласинан	парень набросил аркан на оленя
омолги тэгэмкин хадукин остан	юноша уступил  часть скамейки
омолги, сот гайканденэ, Чиярик аят уллидеривэн  ичэтчэчэн	парень изумлённо смотрел на красивое шитьё Чиярик
омолгив доӈоточоли сиӈилгэндули  суксиллалдиви качунадяран	сынишка шуршит лыжами по мёрзлому снегу
омолгив ламули дяврактавки	очан  мой сын стал мореплавателем
омолгив хулукун,  тарит нуӈан элэ печатнаилва буквалва таӈивки	сын у меня маленький, поэтому  он только печатные буквы разбирает
омолгив эвикэрви кэтэрэ капункин	мой сын часто ломал  свои игрушки
омолгивчан картошкая балдыгаран	парнишка посадил картошку
омолгикам ӈалэвэв гамалчачан	сынишка схватил меня за руку
омолгиканми инамуликнанми хактанчэдечан	мой сынишка  хохотал до слёз
омолгиканми ханӈардиви  таптакамучан, эми-вал би нуӈандун эчэв таптаканмувканэ	мой сынишка хотел  захлопать в ладоши, но я ему не дал
омолгиканми эрундукив танчэлчан	сынишка  уже начал меня за локоть дёргать
омолгис  бакавдяӈан, эдянни-ка си!	да найдётся твой мальчик, что ты!
омолгичан нюритви  гарпаран, гекчан никимнаван навканэн	парень стрелу выпустил, попал в шею  ястреба
омолгичан нюритви гарпаран,  гекчан никимнаван навканэн	молодец стрелу выпустил, попал в шею ястреба
омӈо-мӣ	предать забвению
омӈовко̄ндя-мӣ	предавать забвению
он аси наяксалва чиридиливки?	как женщина обрабатывает  шкуры?
он би синнун бакалдым?	как я с тобой встречусь?
он бидерэс?	как поживаете?
он си дагдянни? — Би-дэ дагдям!	как же ты  переправишься? — Я-то переправлюсь!
он-ка  мит тадук книгалва боричилдяӈалты?	как же мы потом будем делить книги?
он-ка  эденни дялдаттэ тали бикиттули?	как же не мечтать о таком крае
он-ка би  нуӈанман умнэт эчэв тагрэ!	и как это я его сразу не узнал!
он-ка би амаканун авундиви-гу налдыдяӈав?	что же мне  шапкой с медведем бороться?
он-ка би нуӈанман татыгадем?	как же мне его приручить?
он-ка би эрдэлэн эчэв тагрэ!	и  как это я раньше не догадался!
он-ка дюдус авден? 	как же в твоём доме спать?
он-ка нюӈун дярдула  таӈдяӈас — умэкэчэнми матакал	как сосчитаешь до  шестидесяти, так загибай палец
он-ка синду эчэ халдявсипчу биси, бэеткэн?	как тебе не стыдно,  мальчик?
он-ка эр бидеӈэн? —  нуӈан гайкандечан	как это может быть? — удивился он
он-ка ӈинакин синэ  упкатвас эчэн касира!	и как ещё пёс тебя в клочки не разорвал!
он-мал кэнэл ичэлдыдеӈэ̄т	как-нибудь увидимся
онёвучӣ журнал	иллюстрированный журнал
онёлон дукуланмэ тулилэ, энэ экситтэ, горогит ичэчэн,  тала, хаватанду, гунчэн	совсем случайно художник увидел писателя издали на  улице и там же, в сутолоке, решил
онёлон ичэчэн, сомама  эӈэсичи бинэ, ӈалэн мурин усивэн дяванаван, мурин дэрэвэн таннэван	художник  видел, с какой железной силой его рука взялась за недоуздок и потянула морду  коня
онёлон секретарь хавалкиттулан  ургэпчувэ мольбертва, краскачива авсава, рамаду тэлэвчэвэ торгавэ иручан	художник  перевёз в кабинет секретаря тяжёлый мольберт, ящик с красками и раму с холстом
онёмни картинава краскалди онёмулчан	художнику  захотелось нарисовать картину в красках
онӈан чагидадукин юми	выйти из-за угла
оператор чакиливчавэ листоква окошково  лупумнэк аливчан	оператор протянул за окошко свёрнутый листок
оптывӯн, маӈки*, кэ̄лэ̄*, эрувӯн*	лопата для снега
оркестр дирижёрин, орке̄стрду нуӈнӣмнӣ	дирижёр оркестра
орокон аманнина балдычан	оленёнок родился поздно
орокон илэл  дагадутын, бикичилтын дагадутын бидеӈкин	оленёнок  держался около людей, возле их жилья
орокон хуркэкэн дагадун хуктыктэлчэн	оленёнок  запрыгал около мальчика
орон  инӈактан, наннан  олгокир, маӈал биӈкитын	шерсть и кожа  оленя были сухие и жёсткие
орон  наннан селурии оёклотын гармошкагачин кэӈгургэӈкин-дэ, нян  каптургаӈкин-да	кожа над ноздрями  оленя то растягивалась, то снова сжималась, как гармошка.
орон аманнина балдычан, тадук эӈэсие ачин бичэн	олень  родился поздно и был очень слабым
орон бира дагалин дыӈнилэстэн	олень промчался вдоль реки
орон воздухва доски игдыт эриденэ,  тарит улапкун оӈоктон багдама наннан хивипчут бэгинэдечэн	олень шумно  втягивал воздух, и белая кожа его влажного носа тревожно вздрагивала
орон дылин эрут балдыдяри иечи ӈоним очан	голова оленя с плохо развитыми рогами вытянулась
орон дюлэгулди халгардиви мувэ  тыкупчут тукасичан	олень сердито ударил по воде передними ногами
орон иелин	оленьи рога
орон серин адыталди-да  касиргачалгэчир очатын	уши оленя как бы разорвались на несколько частей
орон улапкун оӈоктон багдама  наннан хивипчут бэгинэдечэн	белая кожа влажного носа оленя тревожно  вздрагивала
орон хэгдыл эсалин арамакан нивчэтын: нонон умукэн, тадук  ге	большие глаза оленя чуть приоткрылись: сначала один, потом другой
орон, бэеткэнмэ алатчэдави,  бидектуви илитчами эчэн маӈичадяра	оленю не терпелось стоять на месте  в ожидании мальчика
орондула̄	к оленю
орондӯ угран	он сел на оленя
оронмо чагит илкал	встань  позади оленя
орончикан  хуркэкэнмэ харпукатнэ гуяламучан	оленёнок попытался игриво боднуть  мальчика
оронӈочин	подобный оленю
оронӈочин	такой же, как олень
орор капумали дюкэли хуктысинэ	олени  побежали по хрупкому льду
орор маначал оӈкокитвар, пастухил нулгивкил хэрэкэлдулэ  дуннэлдулэ	олени съели свой корм, и пастухи откочевали на другие места
орор мэрдувэр ургэпчулвэ намалва инидечэтын	олени несли на себе  тяжёлую ношу
орор сиӈналдяра	олени беспокоятся
орор таӈутын кэтэӈивдеӈэн	количество оленей увеличится
орорво  камникаттави, унэмэмэ тэгэӈкин	чтобы караулить оленей, он вставал  очень рано
орорво  тасми	перегнать оленей
орорво каравучимнилва колхоз правлениелэн эрирэ	пастухов  оленей вызвали в правление колхоза
орорвор  камникаттэ	они отделили своих оленей
орорвун орордуксун аятмасал	наши олени лучше ваших
осилдё-мӣ	болеть чесоткой
отдел начальникин	начальник отдела
отличие са̄мэлкин	знаки отличия
отрядил аракукан  боевикилди гавчалдула улицалдула дагамара	отряды осторожно подошли близко к  улицам, занятым боевиками
офицер минэ иливканмусинчадяран, хаиӈудави	офицер, видно,  хочет меня остановить, спросить
очередь а̄чиндӣн	вне очереди
оёлӣвун	кроме нас
оёлӣтын	кроме них
оӈкоёде-мӣ	кормить оленей
оӈокто матавдякин	пе­реносица
оӈоктови дагалтат*	◊ лицом к лицу
оӈоктови экэл варэ	не разбей нос
оӈоктово тэсивӯн	носовой платок
оӈоктоклон дуннэду болдомо эсачи хулукукэн бадялакиткан микчачан	перед самым его носом шлёпнулся на землю пучеглазый маленький лягушонок
оӈоктотви дюлэ̄скӣви ӈэнэде-мӣ	идти куда глаза глядят
оӈоктотви на̄де-мӣ	тыкаться носом
пайвэ  гами	получить пай
пайвэ гадяри	пайщик
палаткава тулэ̄-мӣ	разбить палатку
пан гулэлин бадарадячатын	горела панская усадьба
пан гулэлин бадарадячатын	горела усадьба пана
панчараду  усуки умукэнду халгандуви муду хэнӈэмэклэви илитчаран	стоит у камыша выпь на  одной ноге по колено в воде
панчаралду усуки дялдадерэн: «Би  дылгана ачин цапля бисим!»	выпь в камышах думает: «Безголосая я цапля!»
папироснай бумага	папиросная  бумага
параднэй тэтэгэ	парадная одежда
параллельнэил игракар	параллельные линии
парашютистал донадуктын гулэсэгдулэ илан километрил, сэлэмэлэ хоктоло дян  дюр километрил бичэтын	от места, где сели парашютисты, до деревни три  километра, до железной дороги двенадцать километров
парашютнай шёлк	парашютный шёлк
парламент депутатылин	депутаты парламента
паровоз, энэ кунира,  станциядук вагонилва аракукан ирусинчан	паровоз без гудка, тихо потянул со  станции вагоны
паровозва ӈэнэвумни	машинист
паровозва ӈэнэвумни,  эмэксэ, гунэн часки хокто ачиндулин	вошёл машинист и сказал, что дальше  пути нет
паровозтыду окошкоду илэ ичэвулчэн	в паровозном окошке показался человек
паровозӈи трубан	паровозная труба
паромду  илэлвэ, идэгэлвэ дагивувкил	на пароме переправляют через реку людей и вещи
пароход дюкэлдӯ тагавран	судно затёрло льдами
пароход капитанин	капитан парохода
пароход олдонин	борт парохода
пароход якорьвэ но̄да̄рэн	пароход бросил якорь
пароходту  дюганиду гулэсэгдулэ семьявун упкачин сурудэви умунупчэн	вся наша семья  собралась на пароходе, чтобы ехать на лето в деревню
партиза̄нскэй война	партизанская война
партийнай собрание	партийное собрание
партийнай сэручин	партийное  поручение
партия  членин	член партии
партияды дисциплина	партийная дисциплина
парусичи корабль	парусный  корабль
пасканал  долдывулчатын	послышались взрывы
пасондук саӈнянмэ лупумнэк бултамни  ичэчэн дюкэду экун-мал дерисонаван	сквозь дым от выстрела охотник видел,  как что-то метнулось на льду
паспортви  ичэвкэнми	предъявить паспорт
пассажирил  пальтолвар тэтчэчэтын	пассажиры надевали пальто
пассажирил халтын вагондук юӈкитын	некоторые пассажиры выходили из вагона
пассажирил халтын этэсинчэтын	некоторые пассажиры  обернулись
пассажирил — бэел, тадук  асал хутэтэил — аракукан идэгэлвэр гаӈкитын	пассажиры — мужчины и женщины с  детьми — спокойно забирали свои вещи
пастухил  самэлкичиӈнэрэ  эӈнэкэрвэ, тадук вотарвэ олиӈнара	пастухи метят телят, затем делают  для них загородки
пастухил  тарбавэ орорво каравутчара!	пастухи караулят столько оленей!
пастухил баӈгарара орорво таӈилдавэр	пастухи приготовились считать оленей
пастухил орорво тынивкил, лавиктая девдедэтын	пастухи  отпускают оленей, чтобы они ели ягель
патриотва, учёнайва, сот  преданайва странадуви, Россияду, эдеӈэ алтачивра бичэн	соблазнить  патриота-учёного, до глубины сердца преданного родной стране, России, было  невозможно
паӈамэ оми	лысеть
педагогическэй институт	педагогический институт
педагогическэй училище	педагогическое училище
перрон мудандукин чагорокаллу!	отойдите  от края перрона!
пиджакин  хэгдылду мирэлдун касиргамудячан	пиджак готов был разорваться на его  могучих плечах
пилот  кабинадукин радист ючэн	из кабины пилота вышел радист
пилот  эвкидук сукчаргара стеклодук овчат ӈэрипчут даснат дасчан	пилот надвинул  светлый, из небьющегося стекла колпак
пилот Кешава геду кабинаду тэгэвкэчэн	пилот  усадил Кешу во вторую кабину
пилот бэеткэнмэ уксэдукин мэнтыкиви тачан	пилот  притянул за рукав мальчика к себе
пилот пассажирви нуӈардутын  гэрбичэн	пилот представил им своего пассажира
пит а̄син-мӣ (	крепко заснуть
пит а̄син-мӣ (	крепко заснуть
пла̄нмэ дялупкӣн	выполнение плана
пла̄нмэ о̄-мӣ	разработать план
пленду гавчал	взятые в  плен
плитаду кастрюля илитчачан, кастрюляду хуювувчэ му укропичи, турукэчи  бидечэн	на плите стояла кастрюля, в кастрюле был кипяток с укропом и солью
площадьва  элэ нуӈнивчэли  даккал	переходи площадь только там, где указано
площадьту воздушнай парад ноновуллан	на площади  начался воздушный парад
плюх!  — дюлэлэ дагамамаду долдывчан	плюх! — раздалось совсем близко впереди
подполковник хавалкиттуви кабинеттуви  шинельви, авунми лукчан	подполковник снял шинель и шапку в своём служебном  кабинете
подсолнечнэй имурэ̄	подсолнечное масло
поезд  сурумэчин егинду часилду тунӈа дяр илан минуталду	отправление поезда в  девять часов пятьдесят три минуты
поезд дагамадяракин, часы  дыгинмэ минутачива ичэвкэтчэчэн	когда поезд подходил, часы показывали  четыре с минутами
поезд дю̄р часилдӯ сурудерэн	поезд идёт в два часа
поезд дюлэгудун вагондун кабина бисин	в  переднем вагоне поезда есть кабина
поезд сурумэчин егинду часилду тунӈа дяр илан минуталду	поезд отправляется в девять часов пятьдесят три минуты
поезд эмэчэ̄лэ̄н	по прибытии поезда
поезд, токчоколду матавутчана, колесолдиви коӈкодёчон	поезд,  изгибаясь на поворотах, стучал колёсами
поездал расписаниетын	расписание поездов
поездва аманнӣран	он опоздал на поезд
поездылва уӈнӣ	отправление поездов
пол хэргидэдукин хэгдымэмэ  сиӈэрэкэн ючэн	из-под пола вылезла большая мышь
политикады момент	полити?ческий моме?нт
полковник  дэрэвэн аямамат ичэттэн, умнэт долборво этэечимнивэ тагрэн	полковник  пристально поглядел на его лицо и вдруг узнал ночного сторожа
полни таӈгэравунӈачин саӈагдэ бичэн	пол у него был весь в дырах,  как решето
положӣтельнай степень	положительная степень
помада хэмур дяритын	губная помада
поршенил колесолнун бакалдычадявки	поршни соединены с колёсами
поря̄дковэй таӈуды турэ̄н	порядковое числительное
постановлениева  гами	принять постановление
почтады  марка	почтовая марка
почтальон  каптургачала хутакандулави ӈалэви дычэн	почтальон  полез в отощавшую сумку
почёт доскан	доска почёта
правительство минэ наградичан митӈи Родинат гражданинин хэгдыгут наградадин,  Ленин ордендин наградичан	правительство наградило меня высшей для  гражданина нашей Родины наградой, орденом Ленина
правление заседаниелан стенографисткава эричэтын	стенографистку пригласили на заседание правления
правое а̄чин о̄-мӣ	лишиться права
